date,entity_id,primary_metric,secondary_metric,revenue_or_value,quality_score,risk_score
2026-01-15,EXP002,92.4,32.4,94333,97.5,32.8
2026-01-15,EXP003,89.6,64.2,18304,82.7,33.0
2026-01-15,EXP004,80.1,75.3,106440,95.9,82.4
2026-01-15,EXP005,69.3,76.0,120654,90.6,12.5
2026-01-15,EXP006,46.4,50.8,70568,63.6,57.5
2026-01-15,EXP007,57.9,64.4,131989,95.8,50.3
2026-01-15,EXP008,59.1,31.2,46883,65.2,66.0
2026-01-15,EXP009,67.0,65.4,88681,77.2,52.7
2026-01-15,EXP010,49.3,60.9,84323,82.5,32.9
2026-01-15,EXP011,65.7,65.9,65313,91.0,39.4
2026-01-15,EXP012,42.7,38.5,168072,72.7,46.4
2026-01-15,EXP013,95.6,79.7,23569,85.4,80.4
2026-01-15,EXP014,82.2,58.9,174470,77.8,32.8
2026-01-15,EXP015,65.6,70.1,76474,84.4,60.1
2026-01-15,EXP016,61.7,71.2,138248,81.8,36.5
2026-01-15,EXP017,58.2,80.7,122708,67.1,41.3
2026-01-15,EXP018,92.3,40.2,137883,71.5,75.1
2026-01-15,EXP019,75.0,26.6,148170,97.9,74.2
2026-01-15,EXP020,42.5,47.3,104302,74.2,16.2
2026-01-15,EXP021,68.8,53.6,7766,82.2,21.8
2026-01-15,EXP022,51.6,20.2,52514,95.4,64.1
2026-01-15,EXP023,86.7,43.5,159493,80.2,24.6
2026-01-15,EXP024,68.7,74.7,159502,91.6,24.6
2026-01-15,EXP025,45.6,53.4,165565,71.4,45.3
2026-01-15,EXP026,46.3,77.3,157227,73.7,21.6
2026-01-15,EXP027,42.3,55.0,163547,66.5,13.2
2026-01-15,EXP028,50.9,30.2,116513,71.8,70.9
2026-01-15,EXP029,41.5,24.1,86151,96.0,64.0
2026-01-15,EXP030,94.3,67.5,134403,63.5,81.5
2026-01-15,EXP031,70.0,31.5,26550,62.8,46.9
2026-01-15,EXP032,80.1,80.8,172980,72.4,37.7
2026-01-16,EXP001,89.6,51.7,82883,91.0,14.1
2026-01-16,EXP002,79.4,38.0,136210,65.0,87.5
2026-01-16,EXP003,80.8,36.0,152320,77.4,46.0
2026-01-16,EXP004,65.6,52.9,155813,80.9,29.9
2026-01-16,EXP005,92.8,50.0,139879,76.0,80.6
2026-01-16,EXP006,87.6,27.1,49946,65.8,31.4
2026-01-16,EXP007,70.5,66.1,36511,63.5,58.3
2026-01-16,EXP008,72.9,32.3,96452,98.9,8.4
2026-01-16,EXP009,78.3,68.0,87044,76.2,50.0
2026-01-16,EXP010,49.3,61.0,122781,68.4,12.3
2026-01-16,EXP011,83.6,68.9,98290,65.4,39.3
2026-01-16,EXP012,45.1,69.5,83042,86.6,66.1
2026-01-16,EXP013,84.9,64.4,77013,86.0,90.2
2026-01-16,EXP014,65.8,59.0,47466,79.9,49.6
2026-01-16,EXP015,94.1,38.8,156436,92.5,44.6
2026-01-16,EXP016,71.8,40.8,149999,66.6,55.5
2026-01-16,EXP017,87.3,56.1,35246,85.4,72.0
2026-01-16,EXP018,71.1,52.9,62358,89.5,21.1
2026-01-16,EXP019,74.0,57.0,84132,67.6,67.2
2026-01-16,EXP020,86.1,50.2,142704,65.9,55.3
2026-01-16,EXP021,94.9,77.6,88595,91.5,73.7
2026-01-16,EXP022,68.5,30.0,41537,71.3,17.1
2026-01-16,EXP023,86.3,28.2,79645,96.9,63.1
2026-01-16,EXP024,68.2,35.9,57999,66.0,83.5
2026-01-16,EXP025,71.4,20.1,37390,87.3,86.2
2026-01-16,EXP026,67.1,23.6,41730,90.5,48.7
2026-01-16,EXP027,83.8,59.7,111765,94.3,44.2
2026-01-16,EXP028,57.4,50.8,18823,65.6,71.3
2026-01-16,EXP029,66.2,58.1,136156,89.9,53.9
2026-01-16,EXP030,91.5,37.0,100454,89.1,44.9
2026-01-16,EXP031,63.6,26.6,47395,97.1,50.2
2026-01-16,EXP032,69.9,37.5,123856,73.5,11.4
2026-01-17,EXP001,63.6,28.5,122205,68.7,32.6
2026-01-17,EXP002,89.5,23.6,67480,77.9,66.9
2026-01-17,EXP003,62.3,45.4,106755,67.8,93.8
2026-01-17,EXP004,92.5,37.6,109926,80.9,47.0
2026-01-17,EXP005,79.7,49.6,56240,68.2,9.2
2026-01-17,EXP006,81.9,36.0,121816,67.9,83.4
2026-01-17,EXP007,53.0,58.5,122600,92.9,20.5
2026-01-17,EXP008,55.2,61.0,20635,71.8,28.1
2026-01-17,EXP009,42.4,31.9,173981,81.4,66.4
2026-01-17,EXP010,72.9,53.1,71737,81.5,50.9
2026-01-17,EXP011,42.0,34.3,106730,86.2,20.4
2026-01-17,EXP012,90.1,26.9,173551,64.7,65.1
2026-01-17,EXP013,67.9,28.9,108764,82.3,50.6
2026-01-17,EXP014,91.7,63.4,81840,75.9,31.5
2026-01-17,EXP015,62.7,70.4,167157,75.6,57.9
2026-01-17,EXP016,57.3,25.7,147240,78.4,14.8
2026-01-17,EXP017,81.1,39.5,139939,78.0,71.4
2026-01-17,EXP018,80.7,68.5,145255,98.9,15.8
2026-01-17,EXP019,54.8,75.9,114234,88.9,32.4
2026-01-17,EXP020,73.5,41.9,16677,69.1,73.4
2026-01-17,EXP021,92.9,62.3,63991,90.0,87.8
2026-01-17,EXP022,84.5,58.3,165601,85.5,87.3
2026-01-17,EXP023,84.4,25.7,3311,68.3,8.9
2026-01-17,EXP024,42.1,39.1,7703,85.0,26.1
2026-01-17,EXP025,54.2,38.0,161824,92.1,38.2
2026-01-17,EXP026,91.8,23.8,131808,78.7,36.7
2026-01-17,EXP027,80.1,58.8,133600,69.9,53.1
2026-01-17,EXP028,62.9,73.5,153682,74.3,56.8
2026-01-17,EXP029,67.9,77.3,118937,90.6,16.9
2026-01-17,EXP030,67.4,29.7,85394,77.3,50.9
2026-01-17,EXP031,71.4,81.1,105441,86.4,86.4
2026-01-17,EXP032,82.7,65.6,22006,91.4,24.3
2026-01-18,EXP001,74.1,20.5,112119,97.8,18.2
2026-01-18,EXP002,58.5,70.4,142721,91.7,81.1
2026-01-18,EXP003,80.2,36.3,45441,62.5,24.7
2026-01-18,EXP004,77.0,45.2,7025,98.3,64.5
2026-01-18,EXP005,42.1,58.4,5999,91.7,85.2
2026-01-18,EXP006,45.4,72.9,12022,73.9,73.1
2026-01-18,EXP007,59.3,38.6,51066,90.8,58.3
2026-01-18,EXP008,48.5,32.2,13625,86.2,70.2
2026-01-18,EXP009,92.1,68.3,93686,64.7,82.4
2026-01-18,EXP010,64.2,48.9,86316,97.1,83.1
2026-01-18,EXP011,67.7,75.8,11578,79.5,89.4
2026-01-18,EXP012,40.7,29.4,59053,67.1,91.6
2026-01-18,EXP013,41.1,43.6,104211,86.9,57.9
2026-01-18,EXP014,75.9,48.1,174609,64.5,11.8
2026-01-18,EXP015,95.4,56.5,100284,82.4,33.4
2026-01-18,EXP016,95.4,63.0,89399,85.2,25.1
2026-01-18,EXP017,62.4,46.6,170835,62.3,28.5
2026-01-18,EXP018,80.0,68.2,117493,80.8,86.8
2026-01-18,EXP019,91.7,64.8,24789,84.1,44.5
2026-01-18,EXP020,45.7,34.6,160933,76.9,74.6
2026-01-18,EXP021,78.8,48.0,49919,83.0,23.6
2026-01-18,EXP022,89.8,38.7,168142,79.9,62.5
2026-01-18,EXP023,86.5,78.0,14831,78.2,91.3
2026-01-18,EXP024,52.8,34.8,101324,80.0,53.4
2026-01-18,EXP025,53.8,34.7,24614,79.9,38.4
2026-01-18,EXP026,45.6,66.8,102226,85.5,31.0
2026-01-18,EXP027,88.2,32.8,162176,64.3,50.6
2026-01-18,EXP028,69.0,43.1,60710,84.3,84.2
2026-01-18,EXP029,61.0,38.3,42887,63.8,87.4
2026-01-18,EXP030,94.0,37.4,47128,84.5,82.6
2026-01-18,EXP031,71.0,23.3,139564,80.7,46.7
2026-01-18,EXP032,61.4,67.4,115076,80.7,34.4
2026-01-19,EXP001,84.8,61.3,91124,79.5,51.8
2026-01-19,EXP002,52.7,28.2,2192,94.9,32.0
2026-01-19,EXP003,41.1,58.4,156568,63.8,10.8
2026-01-19,EXP004,44.8,53.4,72087,98.6,30.5
2026-01-19,EXP005,83.8,80.8,171428,77.0,69.8
2026-01-19,EXP006,82.5,40.6,87789,93.1,17.3
2026-01-19,EXP007,74.3,62.5,69975,77.7,36.1
2026-01-19,EXP008,51.3,24.8,153250,69.1,32.5
2026-01-19,EXP009,74.4,76.3,26062,97.8,90.6
2026-01-19,EXP010,69.6,45.6,140321,67.8,49.7
2026-01-19,EXP011,64.0,71.8,17940,94.6,31.7
2026-01-19,EXP012,65.5,64.8,151934,98.9,82.0
2026-01-19,EXP013,64.9,43.9,8153,73.8,69.9
2026-01-19,EXP014,50.1,52.0,84768,67.7,51.9
2026-01-19,EXP015,51.3,40.8,101723,71.7,35.0
2026-01-19,EXP016,78.5,74.9,79334,83.9,20.9
2026-01-19,EXP017,76.2,35.7,37889,63.6,73.2
2026-01-19,EXP018,46.5,49.3,134870,86.2,53.1
2026-01-19,EXP019,63.9,48.5,146064,80.1,72.1
2026-01-19,EXP020,41.0,64.8,157717,83.2,80.2
2026-01-19,EXP021,48.6,33.6,35154,92.5,89.1
2026-01-19,EXP022,51.2,60.8,87574,75.6,59.5
2026-01-19,EXP023,84.6,38.2,92997,65.3,25.1
2026-01-19,EXP024,62.3,75.2,142004,66.3,61.3
2026-01-19,EXP025,68.1,35.9,66816,70.7,63.9
2026-01-19,EXP026,67.9,65.1,139227,98.6,83.3
2026-01-19,EXP027,54.1,37.0,68377,86.6,70.0
2026-01-19,EXP028,47.1,21.3,72460,64.1,12.6
2026-01-19,EXP029,67.8,72.8,49008,84.1,89.8
2026-01-19,EXP030,79.4,53.3,151943,80.0,64.9
2026-01-19,EXP031,54.9,81.2,69697,77.4,38.6
2026-01-19,EXP032,44.2,77.9,101337,98.3,81.8
2026-01-20,EXP001,81.5,65.2,100428,70.4,11.5
2026-01-20,EXP002,44.9,73.0,57434,71.6,42.8
2026-01-20,EXP003,48.9,80.9,133084,67.7,32.1
2026-01-20,EXP004,74.9,64.5,24023,85.2,82.7
2026-01-20,EXP005,64.8,79.0,88002,82.2,59.1
2026-01-20,EXP006,50.1,60.3,145323,66.0,90.0
2026-01-20,EXP007,69.6,59.1,148649,77.2,78.0
2026-01-20,EXP008,73.1,33.1,54565,68.5,24.1
2026-01-20,EXP009,53.8,53.1,67118,93.6,9.8
2026-01-20,EXP010,69.7,25.8,26238,71.7,70.7
2026-01-20,EXP011,47.4,37.2,95477,82.0,85.8
2026-01-20,EXP012,78.3,52.1,98711,73.3,33.1
2026-01-20,EXP013,95.7,78.8,71191,89.1,78.2
2026-01-20,EXP014,51.1,53.1,126093,94.3,69.5
2026-01-20,EXP015,84.1,33.0,125235,97.8,84.7
2026-01-20,EXP016,50.7,54.1,16936,62.2,18.7
2026-01-20,EXP017,76.9,32.3,173359,77.4,46.9
2026-01-20,EXP018,88.2,25.8,85269,88.3,41.6
2026-01-20,EXP019,47.6,33.5,139883,97.4,63.6
2026-01-20,EXP020,95.3,69.2,122403,82.3,43.2
2026-01-20,EXP021,90.0,38.3,54475,83.3,53.3
2026-01-20,EXP022,79.5,60.2,84096,98.9,8.5
2026-01-20,EXP023,57.9,66.5,111060,82.5,42.4
2026-01-20,EXP024,43.8,65.9,162914,68.9,70.8
2026-01-20,EXP025,88.6,41.0,125992,73.5,18.1
2026-01-20,EXP026,64.9,40.5,74539,83.0,80.4
2026-01-20,EXP027,92.6,77.1,7240,84.0,81.5
2026-01-20,EXP028,49.7,63.5,102014,75.3,19.6
2026-01-20,EXP029,62.7,53.9,64503,76.5,53.9
2026-01-20,EXP030,48.2,71.2,81706,93.8,37.2
2026-01-20,EXP031,86.3,77.2,143230,95.1,41.9
2026-01-20,EXP032,52.8,78.5,168897,81.8,30.6
2026-01-21,EXP001,71.7,75.5,10744,97.6,88.6
2026-01-21,EXP002,81.9,25.5,105668,76.3,28.8
2026-01-21,EXP003,68.0,54.5,38690,63.7,48.3
2026-01-21,EXP004,75.7,42.7,114874,98.9,32.3
2026-01-21,EXP005,48.8,36.0,30004,71.3,53.6
2026-01-21,EXP006,61.3,37.1,102614,86.3,20.4
2026-01-21,EXP007,59.7,78.8,150866,78.6,51.1
2026-01-21,EXP008,78.8,29.4,82259,68.1,20.8
2026-01-21,EXP009,89.0,31.3,55769,64.8,28.9
2026-01-21,EXP010,91.8,81.6,48034,90.4,14.5
2026-01-21,EXP011,91.2,61.6,151603,78.2,82.7
2026-01-21,EXP012,74.4,27.5,165633,70.8,88.4
2026-01-21,EXP013,41.5,62.7,156935,66.2,21.8
2026-01-21,EXP014,63.4,30.3,127943,65.9,10.7
2026-01-21,EXP015,82.8,70.9,105638,88.3,77.1
2026-01-21,EXP016,95.2,64.1,118725,73.4,31.2
2026-01-21,EXP017,41.2,66.4,146213,70.0,17.6
2026-01-21,EXP018,51.3,27.9,108252,93.1,56.8
2026-01-21,EXP019,91.7,69.9,38828,76.1,33.2
2026-01-21,EXP020,73.4,70.6,10698,69.1,19.9
2026-01-21,EXP021,46.6,39.4,15468,73.8,19.5
2026-01-21,EXP022,94.3,66.5,93286,70.3,82.8
2026-01-21,EXP023,84.4,72.0,9927,74.3,32.6
2026-01-21,EXP024,94.0,76.6,80860,85.8,55.8
2026-01-21,EXP025,44.8,23.1,129010,86.5,74.3
2026-01-21,EXP026,44.7,62.5,78169,92.3,87.5
2026-01-21,EXP027,95.4,47.4,71561,90.0,78.3
2026-01-21,EXP028,42.8,31.8,162587,87.5,85.4
2026-01-21,EXP029,83.7,30.0,149187,75.5,42.8
2026-01-21,EXP030,85.6,24.0,73066,68.5,67.0
2026-01-21,EXP031,75.3,47.6,69008,63.0,80.7
2026-01-21,EXP032,92.1,59.8,129691,70.6,84.7
2026-01-22,EXP001,84.9,78.2,41892,84.7,13.4
2026-01-22,EXP002,61.3,32.8,22597,85.2,41.0
2026-01-22,EXP003,91.8,35.7,134646,72.2,85.3
2026-01-22,EXP004,65.0,38.5,90610,70.4,51.9
2026-01-22,EXP005,79.2,78.9,144522,98.8,44.4
2026-01-22,EXP006,93.8,32.0,172630,67.8,39.1
2026-01-22,EXP007,46.0,44.8,8061,74.1,82.2
2026-01-22,EXP008,44.7,25.6,138253,98.4,37.5
2026-01-22,EXP009,64.3,79.7,93434,87.4,90.7
2026-01-22,EXP010,41.3,42.8,155157,83.1,14.3
2026-01-22,EXP011,45.4,61.1,31494,94.9,48.4
2026-01-22,EXP012,74.4,20.5,26279,79.8,21.7
2026-01-22,EXP013,42.4,23.0,88400,84.7,45.4
2026-01-22,EXP014,76.3,25.5,128058,75.7,21.4
2026-01-22,EXP015,62.9,34.6,132005,66.3,37.0
2026-01-22,EXP016,54.7,53.1,51854,88.0,66.8
2026-01-22,EXP017,79.4,49.1,47723,88.9,22.7
2026-01-22,EXP018,80.2,40.6,75461,65.6,66.9
2026-01-22,EXP019,50.1,65.4,73036,98.1,60.9
2026-01-22,EXP020,62.0,54.3,138239,76.2,84.1
2026-01-22,EXP021,77.9,34.9,44924,62.5,81.5
2026-01-22,EXP022,47.3,79.0,172503,63.7,11.0
2026-01-22,EXP023,60.8,23.1,144560,62.0,58.6
2026-01-22,EXP024,40.8,30.5,42676,87.6,29.1
2026-01-22,EXP025,84.1,53.4,92043,96.8,74.1
2026-01-22,EXP026,62.2,61.8,138805,83.6,90.8
2026-01-22,EXP027,67.0,40.9,118691,76.0,76.3
2026-01-22,EXP028,73.6,30.0,21123,89.4,78.5
2026-01-22,EXP029,64.8,38.9,149077,76.5,67.8
2026-01-22,EXP030,56.7,31.5,51453,81.4,78.0
2026-01-22,EXP031,59.2,57.0,56533,79.6,51.5
2026-01-22,EXP032,94.5,20.7,112288,95.8,14.2
2026-01-23,EXP001,60.4,64.4,69996,74.1,87.2
2026-01-23,EXP002,66.8,72.5,108805,70.4,93.9
2026-01-23,EXP003,86.6,62.3,13766,70.0,62.4
2026-01-23,EXP004,58.0,64.8,57136,78.5,73.4
2026-01-23,EXP005,67.5,45.1,105053,88.2,13.4
2026-01-23,EXP006,45.6,75.9,170522,77.7,17.6
2026-01-23,EXP007,72.8,63.4,65724,96.0,41.1
2026-01-23,EXP008,70.6,73.3,8096,88.8,42.1
2026-01-23,EXP009,82.1,54.7,24442,78.2,64.4
2026-01-23,EXP010,94.2,34.2,115737,97.2,38.1
2026-01-23,EXP011,41.1,26.5,37677,82.0,31.9
2026-01-23,EXP012,68.4,53.7,147162,70.8,11.2
2026-01-23,EXP013,78.3,38.9,167609,74.7,69.4
2026-01-23,EXP014,83.3,81.4,26158,92.7,18.1
2026-01-23,EXP015,54.8,80.0,101265,76.3,33.6
2026-01-23,EXP016,91.2,40.2,146507,68.1,44.0
2026-01-23,EXP017,43.9,20.2,145067,78.4,68.8
2026-01-23,EXP018,58.1,65.2,110221,77.6,90.0
2026-01-23,EXP019,85.4,33.1,150599,90.9,34.8
2026-01-23,EXP020,88.8,29.6,141395,62.5,69.1
2026-01-23,EXP021,43.3,43.0,142443,64.3,66.0
2026-01-23,EXP022,90.6,67.3,154489,83.8,23.0
2026-01-23,EXP023,95.0,71.2,71579,70.2,12.3
2026-01-23,EXP024,59.7,76.6,78829,91.9,42.5
2026-01-23,EXP025,67.6,52.8,120572,80.4,43.0
2026-01-23,EXP026,50.2,78.8,63818,65.4,83.0
2026-01-23,EXP027,69.0,39.1,116936,62.7,28.2
2026-01-23,EXP028,46.8,30.7,64299,88.7,14.0
2026-01-23,EXP029,59.8,45.7,42799,73.3,87.2
2026-01-23,EXP030,55.4,28.6,150679,85.7,22.4
2026-01-23,EXP031,89.8,74.0,123164,79.8,67.3
2026-01-23,EXP032,87.7,31.0,42288,68.8,15.0
2026-01-24,EXP001,71.5,29.7,147089,78.3,64.4
2026-01-24,EXP002,88.7,76.7,50557,74.1,79.9
2026-01-24,EXP003,47.7,29.9,159222,64.6,51.1
2026-01-24,EXP004,67.2,34.4,133885,91.9,46.5
2026-01-24,EXP005,73.0,40.6,150698,90.8,18.7
2026-01-24,EXP006,70.9,45.7,33220,77.2,71.0
2026-01-24,EXP007,59.2,52.3,44204,68.4,57.2
2026-01-24,EXP008,43.5,77.9,53771,89.6,41.4
2026-01-24,EXP009,70.5,34.8,128826,91.1,89.0
2026-01-24,EXP010,80.6,42.5,36183,83.6,60.4
2026-01-24,EXP011,42.2,23.2,64038,75.4,18.7
2026-01-24,EXP012,71.6,81.2,55722,70.3,37.8
2026-01-24,EXP013,81.0,54.5,136389,75.3,47.4
2026-01-24,EXP014,82.5,56.0,103546,72.6,31.4
2026-01-24,EXP015,48.0,81.2,64607,73.1,8.3
2026-01-24,EXP016,70.1,52.8,10298,77.8,49.1
2026-01-24,EXP017,88.6,24.4,15331,64.2,45.3
2026-01-24,EXP018,54.3,57.4,67939,86.1,21.8
2026-01-24,EXP019,53.4,30.0,30767,86.4,80.7
2026-01-24,EXP020,67.1,30.2,16467,98.8,83.8
2026-01-24,EXP021,62.1,40.0,7228,74.2,48.1
2026-01-24,EXP022,72.8,32.8,166966,66.9,75.6
2026-01-24,EXP023,57.5,54.9,108058,89.0,45.5
2026-01-24,EXP024,57.5,31.7,103417,89.1,14.9
2026-01-24,EXP025,74.6,40.1,62983,76.6,18.8
2026-01-24,EXP026,44.4,77.3,172058,97.6,63.7
2026-01-24,EXP027,51.7,36.2,145561,83.0,81.7
2026-01-24,EXP028,60.5,62.0,86124,75.5,53.4
2026-01-24,EXP029,74.4,67.0,114783,95.1,93.3
2026-01-24,EXP030,67.8,75.2,20136,94.9,52.1
2026-01-24,EXP031,65.9,33.2,94113,93.8,27.1
2026-01-24,EXP032,82.9,45.3,161920,77.1,20.9
2026-01-25,EXP001,45.2,36.8,154709,80.5,12.8
2026-01-25,EXP002,79.3,55.8,132199,97.5,27.1
2026-01-25,EXP003,55.0,63.8,39341,94.1,16.5
2026-01-25,EXP004,46.5,70.5,107424,79.9,24.1
2026-01-25,EXP005,79.0,67.5,46964,63.4,23.5
2026-01-25,EXP006,76.4,36.5,165839,69.7,41.2
2026-01-25,EXP007,79.3,49.8,77903,66.0,89.1
2026-01-25,EXP008,85.8,46.3,174490,86.7,81.1
2026-01-25,EXP009,63.6,72.0,83126,95.0,57.9
2026-01-25,EXP010,45.2,39.7,14788,81.8,62.8
2026-01-25,EXP011,69.5,67.0,115419,86.4,17.4
2026-01-25,EXP012,68.9,50.0,72333,87.0,56.7
2026-01-25,EXP013,46.2,65.5,42374,87.0,53.1
2026-01-25,EXP014,76.0,56.0,157103,68.6,34.0
2026-01-25,EXP015,46.6,64.6,54270,69.9,33.1
2026-01-25,EXP016,64.3,65.4,87074,98.7,78.7
2026-01-25,EXP017,53.7,49.3,104306,79.4,68.8
2026-01-25,EXP018,44.4,51.5,55701,80.9,65.6
2026-01-25,EXP019,62.5,32.6,16746,73.5,46.0
2026-01-25,EXP020,75.4,51.7,119684,71.3,82.3
2026-01-25,EXP021,65.3,23.0,77290,66.6,93.4
2026-01-25,EXP022,42.8,70.9,113038,65.4,25.2
2026-01-25,EXP023,85.7,57.9,119130,74.6,52.7
2026-01-25,EXP024,64.2,62.0,87368,79.3,75.9
2026-01-25,EXP025,66.0,69.9,30170,76.5,51.1
2026-01-25,EXP026,70.5,68.4,81459,69.5,39.0
2026-01-25,EXP027,78.2,38.9,48385,70.8,63.1
2026-01-25,EXP028,70.1,21.1,153935,95.5,74.6
2026-01-25,EXP029,66.2,46.6,89267,95.2,25.9
2026-01-25,EXP030,84.4,45.8,37198,72.7,89.7
2026-01-25,EXP031,69.2,21.4,122053,62.4,46.4
2026-01-25,EXP032,74.4,26.8,164046,88.7,48.0
2026-01-26,EXP001,42.4,29.1,150301,71.5,54.9
2026-01-26,EXP002,65.7,36.8,23760,63.6,13.2
2026-01-26,EXP003,49.4,22.7,12808,79.5,75.7
2026-01-26,EXP004,59.2,72.7,124249,86.2,76.8
2026-01-26,EXP005,48.5,24.4,124965,90.9,67.1
2026-01-26,EXP006,57.4,51.1,56073,64.1,13.8
2026-01-26,EXP007,82.0,29.9,22481,92.9,10.8
2026-01-26,EXP008,51.5,25.4,153100,76.1,74.0
2026-01-26,EXP009,89.2,68.6,172787,84.7,48.2
2026-01-26,EXP010,79.1,45.2,141725,71.6,33.1
2026-01-26,EXP011,88.5,62.4,134418,64.1,59.5
2026-01-26,EXP012,70.3,24.4,97900,74.6,83.7
2026-01-26,EXP013,89.3,56.9,65805,71.5,21.4
2026-01-26,EXP014,70.6,65.1,18896,83.9,27.1
2026-01-26,EXP015,69.9,22.4,83555,64.4,52.1
2026-01-26,EXP016,73.9,61.0,98111,66.6,39.0
2026-01-26,EXP017,81.0,25.2,167690,90.8,53.0
2026-01-26,EXP018,78.6,36.2,85875,84.7,44.6
2026-01-26,EXP019,82.0,60.9,89698,71.5,16.3
2026-01-26,EXP020,77.8,52.2,128011,88.9,36.4
2026-01-26,EXP021,76.0,71.0,143847,70.1,86.4
2026-01-26,EXP022,81.8,60.9,17589,62.7,57.1
2026-01-26,EXP023,80.0,36.7,37581,97.0,16.3
2026-01-26,EXP024,65.4,63.9,58442,72.7,50.4
2026-01-26,EXP025,52.7,46.7,49131,97.2,29.8
2026-01-26,EXP026,88.7,48.9,94633,70.0,21.9
2026-01-26,EXP027,44.6,66.5,126585,83.2,79.9
2026-01-26,EXP028,56.5,46.5,88805,66.0,16.1
2026-01-26,EXP029,56.8,41.6,169494,62.2,30.2
2026-01-26,EXP030,44.0,64.4,94821,80.1,85.8
2026-01-26,EXP031,84.2,29.4,167510,95.6,27.3
2026-01-26,EXP032,40.2,71.4,58159,62.9,22.0
2026-01-27,EXP001,90.1,79.0,20814,86.4,24.6
2026-01-27,EXP002,93.2,63.2,166549,76.4,79.7
2026-01-27,EXP003,56.8,56.8,116262,83.0,67.6
2026-01-27,EXP004,53.9,26.4,171188,81.1,34.4
2026-01-27,EXP005,92.4,78.0,69021,89.7,93.7
2026-01-27,EXP006,41.1,62.2,6196,74.2,59.1
2026-01-27,EXP007,59.0,25.0,147654,81.7,41.7
2026-01-27,EXP008,85.7,39.7,2475,63.3,57.9
2026-01-27,EXP009,57.3,24.2,79762,81.3,63.4
2026-01-27,EXP010,95.6,64.1,152648,84.4,52.4
2026-01-27,EXP011,65.8,50.7,174588,81.1,27.1
2026-01-27,EXP012,55.5,62.0,133459,80.0,22.8
2026-01-27,EXP013,53.9,65.1,173129,62.9,93.0
2026-01-27,EXP014,77.3,68.1,75770,71.1,39.7
2026-01-27,EXP015,95.8,37.0,146817,75.5,53.9
2026-01-27,EXP016,82.5,31.5,81319,93.8,90.4
2026-01-27,EXP017,54.4,73.4,137085,72.6,52.8
2026-01-27,EXP018,57.4,78.6,76113,79.4,89.7
2026-01-27,EXP019,54.2,54.5,81941,93.5,57.0
2026-01-27,EXP020,91.6,75.9,78341,75.9,21.2
2026-01-27,EXP021,41.0,35.7,44122,92.7,73.9
2026-01-27,EXP022,79.5,38.2,27286,84.6,84.1
2026-01-27,EXP023,95.6,69.3,37056,81.2,91.7
2026-01-27,EXP024,58.0,35.0,101232,89.0,60.1
2026-01-27,EXP025,95.3,34.8,62972,70.9,29.0
2026-01-27,EXP026,49.6,62.9,159677,91.4,32.1
2026-01-27,EXP027,71.9,26.9,99492,78.4,90.1
2026-01-27,EXP028,81.8,21.8,158333,70.8,48.9
2026-01-27,EXP029,75.4,36.4,171715,94.1,27.2
2026-01-27,EXP030,57.9,69.6,121140,91.1,19.2
2026-01-27,EXP031,54.5,76.3,172066,65.8,87.8
2026-01-27,EXP032,53.5,35.7,170384,98.5,36.7
2026-01-28,EXP001,68.8,77.5,2307,94.2,68.6
2026-01-28,EXP002,57.3,71.0,41155,87.9,59.8
2026-01-28,EXP003,75.8,50.2,64300,86.9,68.9
2026-01-28,EXP004,88.6,65.6,75401,72.6,88.4
2026-01-28,EXP005,77.5,43.8,129059,67.1,38.1
2026-01-28,EXP006,87.5,74.8,93865,82.1,61.1
2026-01-28,EXP007,45.0,65.3,97994,79.0,58.4
2026-01-28,EXP008,65.0,29.5,138723,64.0,23.3
2026-01-28,EXP009,95.5,36.8,94909,94.5,33.1
2026-01-28,EXP010,54.4,24.6,121493,91.8,36.0
2026-01-28,EXP011,80.8,23.5,54041,73.7,83.2
2026-01-28,EXP012,85.1,27.6,106978,95.1,10.8
2026-01-28,EXP013,71.1,53.7,116998,93.3,12.1
2026-01-28,EXP014,55.5,50.6,56951,80.9,43.4
2026-01-28,EXP015,61.2,32.9,46265,69.6,71.4
2026-01-28,EXP016,57.0,39.4,44838,98.8,45.2
2026-01-28,EXP017,47.5,71.9,120003,80.7,92.1
2026-01-28,EXP018,67.7,76.5,22544,79.6,37.5
2026-01-28,EXP019,62.1,58.6,23350,72.0,41.1
2026-01-28,EXP020,75.5,67.4,21098,68.3,43.4
2026-01-28,EXP021,55.2,36.9,7744,85.3,93.5
2026-01-28,EXP022,69.8,70.2,64176,88.0,90.1
2026-01-28,EXP023,62.6,44.5,12454,65.8,91.8
2026-01-28,EXP024,50.2,75.1,10759,83.9,93.6
2026-01-28,EXP025,80.6,72.3,104104,66.8,48.6
2026-01-28,EXP026,62.2,78.2,43365,66.4,10.0
2026-01-28,EXP027,57.9,26.7,143794,63.9,74.8
2026-01-28,EXP028,65.6,72.0,37454,65.3,60.2
2026-01-28,EXP029,47.3,67.1,44785,64.9,57.4
2026-01-28,EXP030,73.6,63.0,79473,66.1,68.9
2026-01-28,EXP031,50.2,23.0,58362,88.9,46.6
2026-01-28,EXP032,59.0,33.3,104277,63.2,10.0
2026-01-29,EXP001,49.3,44.7,160341,70.9,45.0
2026-01-29,EXP002,40.2,74.4,72651,82.9,8.6
2026-01-29,EXP003,78.0,54.4,115474,66.7,50.1
